127.0.0.1 - - [23/May/2023:09:02:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/index.action HTTP/1.1" 200 9188
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/bootstrap-4.6.0-dist/css/bootstrap.min.css HTTP/1.1" 200 161409
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/css/style1.css HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/jquery-ui-1.13.1.custom/jquery-ui.css HTTP/1.1" 200 36123
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/bootstrap-4.6.0-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/jquery-ui-1.13.1.custom/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/smarteditor/js/HuskyEZCreator.js HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/js/jquery.form.min.js HTTP/1.1" 200 15258
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/images/sist_logo.png HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/images/%EB%8F%99%EC%9B%90.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/images/%EB%A0%88%EB%85%B8%EB%B3%B4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/images/%EB%AF%B8%EC%83%A4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /board/resources/images/%EC%9B%90%EB%8D%94%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2023:09:03:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/May/2023:09:05:26 +0900] "GET /board/list.action HTTP/1.1" 200 26497
0:0:0:0:0:0:0:1 - - [23/May/2023:09:05:26 +0900] "GET /board/resources/images/disk.gif HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [23/May/2023:09:05:27 +0900] "GET /board/view.action?seq=213&searchType=subject&searchWord=&gobackURL=/list.action HTTP/1.1" 200 24808
